0 521
1 521
2 265
3 265
4 265
5 265
6 265
7 265
8 265
9 265
10 265
11 265
12 265
13 265
14 265
15 265
16 265
17 265
18 265
19 264
20 264
21 264
22 264
23 264
24 264
25 264
26 264
27 264
28 264
29 264
30 264
31 264
32 264
33 264
34 264
35 264
36 264
37 263
38 256
39 252
40 252
41 252
42 252
43 252
44 251
45 251
46 235
47 235
48 226
49 222
50 222
51 220
52 219
53 219
54 219
55 219
56 219
57 219
58 219
59 214
60 212
61 211
62 207
63 205
64 205
65 204
66 197
67 197
68 191
69 189
70 188
71 188
72 188
73 180
74 180
75 175
76 173
77 173
78 172
79 172
80 172
81 172
82 168
83 168
84 166
85 165
86 162
87 160
88 160
89 160
90 95
91 95
92 95
93 95
94 95
95 88
96 83
97 81
98 81
99 80
100 80
101 71
102 67
103 67
104 65
105 64
106 64
107 64
108 64
109 54
110 51
111 51
112 49
113 48
114 40
115 36
116 34
117 34
118 33
